#TYPE Selected.System.Management.Automation.PSCustomObject
"DisplayName","DisplayVersion"
"Arduino","1.8.8"
,
"CTRE Phoenix Framework","5.12.1.0"
"FL Studio 20",
"FL Studio ASIO",
"Google Chrome","72.0.3626.119"
"National Instruments Software",""
"NordVPN","6.20.12"
"pgAdmin 4 version 4.1","4.1"
"JetBrains PyCharm Community Edition 2018.3.3","183.5153.39"
"VISA Shared Components 5.10.0 (64-Bit)","5.10"
,
"WinPcap 4.1.3","4.1.0.2980"
"NI System Web Server 2018","18.00.49153"
"NI USB3 Vision 18.0","18.00.49152"
"NI LabVIEW 2018 FPGA Project Templates cRIO","18.00.49152"
"NI Vision 2018 Training Interfaces","18.00.49152"
"NI Vision Runtime 2018 .NET Support","18.00.49152"
"NI LabVIEW 2018 Run-Time Engine Web Server","18.00.49152"
"NI-VISA Remote Passport 18.0.0","18.00.49152"
"NI Vision Error Files 18.0","18.00.49152"
"NI FIRST Robotics Simulation","18.0.60"
"NI-IMAQ Expert 18.0.0","18.00.49152"
"NI Command Line Interface for LabVIEW","1.00.49152"
"NI LabVIEW 2018 Real-Time Support for PXI","18.00.49152"
"NI Help Assistant 2.1.0","2.10.49153"
"NI LabVIEW 2010 SP1 Real-Time Deterministic Network","10.0.49152"
"NI LabVIEW 2011 Real-Time Legacy Support","11.0.49152"
"NI Assistant Framework LabVIEW 2016 Support","18.00.49152"
"NI LabVIEW 2018 Executable","18.02.49154"
"NI LabVIEW 2018 FPGA Support for Host Analysis","18.00.49152"
"NI LabVIEW 2018 Real-Time Light Weight PSP Control Environment","18.00.49152"
"NI PXI DIH 17.3.0 for Phar Lap ETS","17.30.49152"
"NI Web-Based Configuration and Monitoring 18.0","18.00.49152"
"NI-RIO Mite 18.0","18.00.49152"
"NI Atomic PXIe Peripheral Module Driver 17.5.2 for LabVIEW Real-Time","17.52.49153"
"NI LabVIEW 2018 Real-Time Support for cDAQ","18.00.49153"
"NI USB LAN Device 18.0 System API","18.0.14"
"NI System Configuration LV2018 Support 18.0.0","18.00.49152"
"NI LabVIEW 2018 Database Connectivity Toolkit","18.00.49154"
"NI Logos Support for LabVIEW 2018 Real-Time","18.0.49152"
"NI LabVIEW 2018 Real-Time Pharlap LabVIEW","18.00.49152"
"NI Assistant Framework LabVIEW 2018 Support","18.00.49152"
"NI LabVIEW 2018 FPGA Documentation","18.00.49152"
"NI CompactRIO 18.0 LabVIEW Support","18.00.49152"
"NI VIPM Helper 2018","18.00.49152"
"NI OPC Support","18.00.49152"
"NI-RIO Common Files for LabVIEW 2018 (32-bit)","18.00.49152"
"NI LabVIEW 2018 FPGA Project Templates cRIO","18.00.49152"
"NI LabVIEW 2018 Help File","18.00.49152"
"Microsoft Visual C++ 2013 x86 Minimum Runtime - 12.0.21005","12.0.21005"
"NI Uninstaller 18.0.0","18.00.49155"
"NI LabVIEW Runtime 2016 f5","16.50.49152"
"NI LabVIEW 2018 Real-Time Support for Smart Cameras","18.00.49152"
"NI SLCP 3.1","3.11.49153"
"NI LabVIEW 2018 Real-Time for Industrial Controllers","18.00.49153"
"NI Curl 2018 Real-Time Support","18.00.49152"
"NI Time Configuration Silverlight Control 18.0.0 for Real-Time","18.00.49152"
"NI-Serial 17.5 for LabVIEW Real-Time","17.50.49152"
"NI-TNF for Phar Lap ETS 17.5.0","17.50.49152"
"NI LabVIEW 2018 Real-Time LV Support for FieldPoint","18.00.49153"
"NI I/O Trace 18.0.0","18.00.49152"
"NI LabVIEW Runtime 2018 f2","18.02.49154"
"NI LabVIEW Runtime 2017 SP1 f3","17.51.49152"
"NI-IMAQdx ISC-178x 18.0 Windows Support","18.00.49152"
"NI Remote Provider for MAX 18.0.0","18.00.49152"
"NI OPCEnum Shared","5.62.49152"
"NI-VISA PXI Passport 18.0.0","18.00.49152"
"NI LabVIEW 2018 Modbus IO Server for Windows","18.00.49152"
"NI AFW UI Assemblies","18.00.49152"
"NI Example Finder 18.0","18.00.49152"
"NI-VISA USB Passport 18.0.0","18.00.49152"
"NI License Manager","4.20.49154"
"NI-RIO Utilities 18.0","18.00.49152"
"NI-WatchDog Host LabVIEW 2018 Support","18.00.49152"
"NI TDM Excel Add-In 18.0","18.00.49152"
"NI MXS 18.0.0","18.00.49152"
"NI-VISA Errors 17.5.0","17.50.49152"
"NI-VISA 18.0.0","18.00.49152"
"NI Vision Acquisition Class Co-Installer Core Support 17.5","17.50.49152"
"NI-DIM 18.0.0","18.00.49152"
"NI LabVIEW 2018 Real-Time FIFO","18.00.49152"
"NI LabVIEW 2018 (32-bit)","18.00.49152"
"NI WebServices Runtime Support for LabVIEW 2018 Real-Time","18.00.49152"
"NI-IMAQdx Runtime 18.0","18.00.49152"
"NI Network Discovery 18.0","18.00.49152"
"NI-VISA ENET-Serial Passport 18.0.0","18.00.49152"
"NI LabVIEW 2017 Run-Time Engine Web Server","17.01.49152"
"Java 8 Update 201","8.0.2010.9"
"NI-RPC 17.0.0f0 for Phar Lap ETS","17.00.49152"
"NI Vision Example Images 17.5","17.50.49152"
"NI-IMAQ Configuration 18.0","18.00.49152"
"NI-VISA LabVIEW 2018 Support 32-Bit 18.0.0","18.00.49152"
"NI Vision Common Resources Real-Time 2018","18.00.49152"
"NI Windows EPICSIOServer","18.00.49152"
"NI LabWindows/CVI Shared Runtime 2017","17.00.49157"
"NI Real-Time Device Manager","17.00.49152"
"NI-NVIDIA Gigabit Ethernet Driver for LabVIEW Real-Time","3.1.49152"
"Reset NI Config 18.0.0","18.00.49152"
"NI LabVIEW 2018 FPGA Support for Host Communication","18.00.49152"
"NI Web Technologies 2018 for Real-Time","18.00.49152"
"NI Network Variable Engine for LabVIEW Real-Time","18.0.49152"
"NI LabVIEW 2018 Real-Time for Industrial Controllers","18.00.49153"
"NI-VISA Interactive Control 18.0.0","18.00.49152"
"NI LabVIEW 2013 Real-Time FTP Server","13.0.49152"
"NI Variable Client for LabVIEW Real-Time","18.0.49152"
"NI Datasocket for LabVIEW Real-Time","18.0.49152"
"NI LabWindows/CVI 2017 .NET Library","17.00.49155"
"NI LabWindows/CVI Runtime (Updated) 2017","17.00.49155"
"NI PXI Platform Services 18.0 Expert","18.00.49152"
"NI LabVIEW Runtime Interop 2018","18.02.49154"
"NI-RIO I/O Control for LabVIEW 2017","17.60.49152"
"NI LabVIEW 2018 Real-Time LabVIEW","18.00.49152"
"NI WebDAV Client 2018 Real-Time Support","18.00.49152"
"NI LabWindows/CVI 2017 Low-Level Driver (Updated)","17.00.49154"
"NI Authentication 2018","18.00.49152"
"NI-IMAQ Runtime 18.0","18.00.49153"
"NI SSL Support","18.00.49152"
"NI Variable Engine 2018","18.00.49152"
"NI LabVIEW 2018 Real-Time Support for WSN Gateway","18.00.49152"
"NI-WatchDog Host 18.0","18.00.49152"
"NI Registration Wizard","1.07.49152"
"NI-RIO I/O Control for LabVIEW 2016","16.01.49152"
"NI LabVIEW 2018 Real-Time Support for Hypervisor","18.00.49152"
"NI Device Monitor 15.0","15.00.49153"
"NI Multi-Variable Dialog 2018","18.00.49152"
"NI LabWindows/CVI 2017 TDMS Library","17.00.49155"
"NI PXI Platform Services 18.0 Expert for LabVIEW Real-Time","18.00.49152"
"NI-VISA Examples 17.5.0","17.50.49152"
"NI-IMAQ Expert RT 18.0.0","18.00.49152"
"NI Measurement Studio ComponentWorks 3D Graph","8.63.49152"
"NI Logos LabVIEW 2018 Support","18.00.49153"
"NI LabVIEW 2018 Real-Time Support for IMAQ","18.00.49153"
"NI-IMAQ Configuration Client 18.0","18.00.49152"
"NI Measurement & Automation Explorer 18.0.0","18.00.49152"
"NI LabVIEW 2018 Real-Time LV Support for cDAQ","18.00.49153"
"NI LabWindows/CVI 2015 DLL Builder for LabVIEW","15.10.49153"
"NI LabVIEW 2018 Real-Time Support for FieldPoint","18.00.49153"
"NI-IMAQdx Development Support 18.0","18.00.49152"
"NI Python Interface","18.00.49152"
"NI LabVIEW 2018 FPGA Support for Host Analysis","18.00.49152"
"NI LabVIEW 2018 (32-bit)","18.00.49152"
"NI Service Locator 2018","18.00.49152"
"NI-DIM 18.0.0 for LabVIEW Real-Time","18.00.49152"
"NI Atomic PXIe Peripheral Module Driver 17.5.2","17.52.49153"
"NI Smart Camera Remote Provider","16.20.49152"
"NI Service Locator Real-Time 2018 Support","18.00.49152"
"Math Kernel Libraries","15.01.49152"
"NI LabVIEW 2018 DSC EPICS IO Server - JP","18.00.49152"
"NI-VISA Documentation 18.0.0","18.00.49152"
"NI LabVIEW 2018 VI Library","18.00.49152"
"NI Software Provider for MAX 17.0.0","17.00.49152"
"NI LabVIEW 2015 Real-Time LibiConv","15.0.49152"
"NI Web Pipeline 17.0","17.00.49152"
"NI VC2010RTE x86","10.10.49152"
"NI LabVIEW 2017 Real-Time NBFifo","17.0.49152"
"NI-QPXI 17.3.0 for LabVIEW Real-Time","17.30.49152"
"NI LabVIEW Real-Time Trace Viewer 2018","18.00.49153"
"NI LabVIEW 2018 Web Server","18.00.49152"
"NI Measurement Studio Recipe Processor","8.0.0101"
"NI Vision FPGA LabVIEW 2018 common","18.00.49152"
"NI GigE Vision Core Driver Support","17.50.49152"
"NI LabVIEW 2010 Real-Time Registry","10.0.49152"
"NI LabVIEW 2018 Merge Utility","18.00.49152"
"NI Authentication Real-Time 2018 Support","18.00.49152"
"NI-DAQmx Remote Service 17.0 for LabVIEW Real-Time","17.00.49152"
"NI LabVIEW 2015 Real-Time NBFifo","15.0.49152"
"NI-ORB 17.0 for LabVIEW Real-Time","17.00.49153"
"NI LabVIEW 2018 Real-Time Linux Module Tools","18.00.49152"
"NI-APAL 18.0 Error Files for LabVIEW RT","18.00.49152"
"NI LabVIEW 2018 DSC EPICS IO Server - EN","18.00.49152"
"Java Auto Updater","2.8.201.9"
"NI-GVSP 18.0","18.00.49152"
"NI LabVIEW 2018 Real-Time Module","18.00.49152"
"NI LabVIEW Runtime Interop 2015","15.50.49152"
"Math Kernel Libraries","18.00.49152"
"NI VC2005MSMs x86","8.05.0"
"NI LabVIEW 2018 Real-Time System State Publisher Support","18.00.49152"
"NI-VISA System API Support 18.0.0","18.00.49152"
"NI Customer Experience Improvement Program","3.11.49153"
"NI LabVIEW Runtime 2015 SP1 Non-English Support.","15.11.49152"
"NI-IMAQdx 18.0 Real-Time Support","18.00.49152"
"NI-IMAQdx Expert 18.0.0","18.00.49152"
"NI LabVIEW 2018 FPGA Error Codes","18.00.49152"
"NI Vision 2018","18.00.49152"
"NI System Web Server Real-Time 2018 Support","18.00.49153"
"NI USI 17.5.0","17.50.49152"
"NI-RIO 18.0 for LabVIEW Real-Time","18.00.49152"
"NI LabVIEW 2018 Real-Time LV Support for Desktop","18.00.49153"
"NI LabVIEW 2018 Compare Utility","18.00.49152"
"NI LabVIEW 2015 Real-Time VxWorks Floating Point","15.0.49152"
"NI LabVIEW 2018 Real-Time LV Support for PXI","18.00.49153"
"NI LabVIEW 2016 Run-Time Engine Web Server","16.01.49152"
"NI Vision Full Common 18.0","18.00.49152"
"NI CVS-145x and ISC-178x RT Firmware","18.00.49152"
"NI-Serial Runtime 17.5","17.50.49152"
"NI Error Reporting Interface 18.0","18.00.49152"
"NI TDMS RT 18.0","18.0.49152"
"NI Portable Configuration 17.0.0","17.00.49152"
"NI Curl 2018","18.00.49152"
"NI MDF Support","18.00.49155"
"NI Embedded Target Configuration 2016","16.0.49152"
"NI Search Shared","18.00.49152"
"NI LabVIEW 2018 Deployable License","18.00.49152"
"NI Vision Development Module Store Product 18.0.0","18.00.49152"
"NI-RIO FPGA Interface Driver Support 18.0 for LabVIEW Real-Time","18.00.49152"
"NI Certificate Management Web Service 2018","18.00.49152"
"NI EulaDepot","18.00.49152"
"NI CompactRIO - C Series Module Support 18.0","18.00.49152"
"NI LabVIEW 2016 Real-Time NBFifo","16.0.49152"
"NI-PAL 18.0 for LabVIEW Real-Time","18.00.49152"
"NI-IMAQdx ISC-178x 17.1 Real-Time Support","17.10.49152"
"Realtek Card Reader","10.0.14393.31228"
"WIF Core Dependencies Windows 18.0.0","18.00.49152"
"NI-RIO MAX Provider 18.0","18.00.49152"
"NI PXI Platform Framework 18.0.0","18.00.49152"
"NI-Embedded CAN for RIO Real Time 18.0","18.0.13"
"NI-ORB 17.0","17.00.49153"
"NI LabWindows/CVI 2017 Network Streams Library","17.00.49155"
"NI-PCI Bridge Driver 18.0","18.00.49152"
"NI Network Discovery 18.0 for LabVIEW Real-Time","18.00.49152"
"Google Update Helper","1.3.33.23"
"NI LabVIEW 2018 Database Connectivity Toolkit License","18.00.49153"
"NI-IMAQ Configuration 18.0 Real-Time Support","18.00.49152"
"NI LabVIEW 2018 MeasAppChm File","18.00.49152"
"NI-BDS 18.0 for LabVIEW Real-Time","18.00.49152"
"AMD Settings","2017.1026.2023.34870"
