#TYPE Selected.System.Management.Automation.PSCustomObject
"DisplayName","DisplayVersion"
"MSI Afterburner 4.5.0","4.5.0"
"AIDA64 Extreme v5.97","5.97"
"Audacity 2.2.2","2.2.2"
,
"CTRE Phoenix Framework","5.8.1.0"
"Elixir version 1.7.3","1.7.3"
"Erlang OTP 21 (10.1)",
"FileZilla Client 3.35.2","3.35.2"
"Google Chrome","71.0.3578.98"
"IntelliJ IDEA Community Edition 2018.2.3","182.4323.46"
"LAME v3.99.3 (for Windows)",
"Microsoft Help Viewer 2.1","2.1.21005"
"National Instruments Software",""
"NordVPN","6.18.9"
"Notepad++ (32-bit x86)","7.5.8"
"OBS Studio","21.1.2"
"JetBrains PyCharm Community Edition 2018.3.1","183.4588.64"
"Rockstar Games Social Club","1.2.4.0"
"RivaTuner Statistics Server 7.1.0","7.1.0"
"Steam","2.10.91.91"
"VISA.NET Shared Components 5.8.0 (64-Bit)","5.8.0300"
"VISA Shared Components 5.9.0 (64-Bit)","5.9"
,
"XAMPP","7.2.11-0"
"WinRT Intellisense UAP - Other Languages","10.1.17763.132"
"WinRT Intellisense Desktop - en-us","10.1.17763.132"
"Microsoft Azure Tools for LightSwitch for Visual Studio 2013 - June 2014 Update - v2.4","2.4.20623.1601"
"NI-VISA 17.5.0","17.50.49152"
"Microsoft Help Viewer 2.1","2.1.21005"
"NI LabVIEW Runtime Interop 2016","16.05.49153"
"NI Help Assistant 2.1.0","2.10.49153"
"Microsoft SQL Server 2012 T-SQL Language Service ","11.1.3000.0"
"Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.30501","12.0.30501.0"
"Microsoft NuGet - Visual Studio 2013","2.8.60610.756"
"Windows Runtime Intellisense Content - en-us","8.100.25984"
"WIF Core Dependencies Windows 16.0.0","16.0.78"
"Visual F# 3.1 SDK","12.0.21005"
"Microsoft System CLR Types for SQL Server 2012","11.1.3366.16"
"PowerShellIntegration.Notifications","2.6.0.0"
"SDK ARM Additions","10.1.17763.132"
"Microsoft Visual C++  x64 Libraries","12.0.21005"
"Blend for Visual Studio SDK for Silverlight 5","3.0.40218.0"
"TypeScript Tools for Microsoft Visual Studio 2013","1.0.5.0"
"NI CompactRIO Module Config API Runtime 17.0","17.00.49152"
"GoTo Opener","1.0.481"
"Windows IoT Extension SDK","10.1.17763.132"
"Visual Studio 2012 Verification SDK - enu","12.0.30501"
"Microsoft Visual C++ 2013 x86 Minimum Runtime - 12.0.21005","12.0.21005"
"NI-RoCo 17.5 (32-bit)","17.50.49152"
"Windows Phone 8.1 Emulators - ENU","12.0.31010.0"
" Tools for .Net 3.5","3.11.50727"
"NI Atomic PXIe Peripheral Module Driver 17.3.0","17.30.49152"
"Visual Studio 2013 Update 5 (KB2829760)","12.0.40629"
"Microsoft .NET Framework 4.7.2 Targeting Pack","4.7.03062"
"NI Vision 2017","17.00.49154"
"NI Curl 2017","17.00.49152"
"NI LabVIEW 2017 FPGA Error Codes","17.00.49152"
"Microsoft Visual C++ 2012 Compilers - ENU Resources","11.0.60610"
"Microsoft .NET Framework 4.5.1 SDK","4.5.51641"
"NI Vision Assistant 2017 .NET","17.00.49153"
"Windows SDK for Windows Store Apps","10.1.17763.132"
"Microsoft SQL Server 2012 Data-Tier App Framework ","11.1.2902.0"
"NI OPCEnum Shared","5.62.49152"
,
,
,
,
,
,
,
"Intel Extreme Tuning Utility","6.4.1.23"
"Windows SDK AddOn","10.1.0.0"
"NI CompactRIO MAX Provider 17.0","17.00.49152"
"NI-VISA Errors 17.5.0","17.50.49152"
"Microsoft Portable Library Multi-Targeting Pack","12.0.30501.00"
"Build Tools - x86","12.0.40629"
"Prerequisites for SSDT ","12.0.2000.8"
"NI EulaDepot","17.00.49161"
"Dotfuscator and Analytics Community Edition","5.5.4954.46574"
"Microsoft Exchange Web Services Managed API 2.1","15.0.847.30"
"NI LabVIEW 2015 Real-Time Error Dialog","15.01.49152"
"NI-RPC 17.0.0f0 for Phar Lap ETS","17.00.49152"
"Microsoft SQL Server 2014 Management Objects ","12.0.2000.8"
"Python Tools Redirection Template","1.3"
"Behaviors SDK (Windows) for Visual Studio 2013","12.0.50429.0"
"Kits Configuration Installer","10.1.17763.132"
"NI TDM Streaming 17.0","17.00.49152"
"Microsoft Visual Studio 2013 XAML UI Designer - ENU","12.0.40629"
"NI Vision Common Resources 2017","17.00.49153"
"Microsoft XNA Framework Redistributable 4.0","4.0.20823.0"
"NI Measurement Studio ComponentWorks UI","8.6.10603"
"Windows SDK EULA","10.1.17763.132"
"Visual Studio 2012 Verification SDK - ita","12.0.30501"
"Build Tools Language Resources - x86","12.0.40629"
"Microsoft SQL Server 2012 Management Objects ","11.1.3000.0"
"Windows Phone 8.1 Tools for Visual Studio Professionald 2013 - ENU","12.0.30723"
"Microsoft Visual C++ 2012 Core Libraries","11.0.51106"
"NI Variable Engine 2017","17.00.49152"
"NI Assistant Framework LabVIEW 2014 Support","17.00.49153"
"NI-VISA .NET Development Support 17.5.0","17.50.49152"
"Reset NI Config 17.0.0","17.00.49152"
"Microsoft Visual C++  x64-arm Cross Compilers","12.0.21005"
"NI-Embedded CAN for RIO 17.0.0","17.0.21"
"Visual Studio 2012 ?? SDK - cht","12.0.30501"
"Visual Studio 2012 Verification SDK - chs","12.0.30501"
"Windows SDK Desktop Libs arm","10.1.17763.132"
"NI-VISA Server 17.5.0","17.50.49152"
"NI LabWindows/CVI 2017 Low-Level Driver (Updated)","17.00.49154"
"NI-PAL 17.0 Error Files","17.00.49152"
"Microsoft Visual C++ 2012 Redistributable (x86) - 11.0.61030","11.0.61030.0"
"NI Assistant Framework LabVIEW 2015 Support","17.00.49153"
"NI Registration Wizard","1.07.49152"
"NI-RIO I/O Control for LabVIEW 2016","16.01.49152"
"NI Remote System Discovery Troubleshooting Wizard 17.5","17.50.49152"
"NI LabVIEW Broker","6.81.49152"
"Prerequisites for SSDT ","11.1.3000.0"
"NI-VISA Examples 17.5.0","17.50.49152"
"Windows SDK for Windows Store Apps Contracts","10.1.17763.132"
"NI Measurement Studio ComponentWorks 3D Graph","8.63.49152"
